"ID";"Perioden";"TotaalLevendGeborenKinderen_1";"LevendGeborenKinderenRelatief_2";"AlgemeenVruchtbaarheidscijfer_3";"TotaalLevendGeborenKinderen_4";"Jongens_5";"Meisjes_6";"JongensPer1000Meisjes_7";"TotaalLevendGeborenKinderen_8";"JongerDan20Jaar_9";"k_20Tot25Jaar_10";"k_25Tot30Jaar_11";"k_30Tot35Jaar_12";"k_35Tot40Jaar_13";"k_40Tot45Jaar_14";"k_45JaarOfOuder_15";"TotaalLevendGeborenKinderen_16";"k_1eKind_17";"k_2eKind_18";"k_3eKind_19";"k_4eOfVolgendeKinderen_20";"TotaalLevendGeborenKinderen_21";"MoederGehuwd_22";"MoederNietGehuwd_23";"TotaalLevendGeborenKinderen_24";"PersoonMetEenNederlandseAchtergrond_25";"PersoonMetEenMigratieachtergrond_26";"PersoonMetEenWesterseMigratieacht_27";"PersoonMetEenNietWesterseMigrati_28";"DoodgeborenKinderen24OfMeerWeken_29";"DoodgeborenKinderen24Relatief_30";"DoodgeborenKinderen28OfMeerWeken_31";"DoodgeborenKinderen28Relatief_32";"TotaalGeboorten_33";"EnkelvoudigeGeboorten_34";"TotaalMeervoudigeGeboorten_35";"TotaalTweelinggeboorten_36";"k_2Jongens_37";"k_1JongenEn1Meisje_38";"k_2Meisjes_39";"DrieOfMeervoudigeGeboorten_40";"GemiddeldKindertalPerVrouw_41";"GemiddeldAantal1eKinderenPerVrouw_42";"GemiddeldAantal2eKinderenPerVrouw_43";"GemiddeldAantal3eKinderenPerVrouw_44";"GemiddeldAantal4eOfVolgendeKind_45";"GemiddeldKindertalPerMan_46";"GemiddeldAantal1eKinderenPerMan_47";"TotaalAlleKinderen_48";"Bij1eKind_49";"Bij2eKind_50";"Bij3eKind_51";"Bij4eOfVolgendeKind_52";"TotaalAlleKinderen_53";"Bij1eKindVanDeMoeder_54";"NettoVervangingsfactor_55"
"0";"1950JJ00";"  229718";"    22.7";"    90.5";"  229718";"  118521";"  111197";"    1066";"  229718";"    3562";"   32747";"   71176";"   60682";"   42024";"   17715";"    1812";"  229718";"   62373";"   56399";"   39183";"   71763";"  229718";"  226289";"    3429";"  229718";"       .";"       .";"       .";"       .";"       .";"       .";"    4511";"    19.3";"  231291";"  228383";"    2908";"    2878";"     937";"    1031";"     910";"      30";"   3.097";"   0.804";"   0.743";"   0.531";"   1.019";"       .";"       .";"    30.6";"    26.4";"    29.0";"    31.2";"    35.2";"       .";"       .";"    1.42"
"1";"1951JJ00";"  228407";"    22.3";"    89.4";"  228407";"  117803";"  110604";"    1065";"  228407";"    3790";"   34221";"   70178";"   60932";"   40559";"   16954";"    1773";"  228407";"   64301";"   54907";"   38459";"   70740";"  228407";"  225174";"    3233";"  228407";"       .";"       .";"       .";"       .";"       .";"       .";"    4259";"    18.3";"  229737";"  226838";"    2899";"    2872";"     957";"     970";"     945";"      27";"   3.051";"   0.824";"   0.717";"   0.516";"   0.994";"       .";"       .";"    30.5";"    26.2";"    28.9";"    31.1";"    35.2";"       .";"       .";"    1.40"
"2";"1952JJ00";"  231888";"    22.3";"    90.6";"  231888";"  119598";"  112290";"    1065";"  231888";"    3889";"   35286";"   71488";"   62897";"   39550";"   16961";"    1817";"  231888";"   67992";"   54982";"   38141";"   70773";"  231888";"  228709";"    3179";"  231888";"       .";"       .";"       .";"       .";"       .";"       .";"    4310";"    18.2";"  233216";"  230275";"    2941";"    2900";"     986";"    1042";"     872";"      41";"   3.087";"   0.873";"   0.717";"   0.509";"   0.989";"       .";"       .";"    30.4";"    26.2";"    28.9";"    31.1";"    35.1";"       .";"       .";"    1.41"
"3";"1953JJ00";"  227964";"    21.7";"    88.9";"  227964";"  117505";"  110459";"    1064";"  227964";"    3780";"   34568";"   69989";"   63916";"   37456";"   16554";"    1701";"  227964";"   65933";"   55623";"   37664";"   68744";"  227964";"  224998";"    2966";"  227964";"       .";"       .";"       .";"       .";"       .";"       .";"    4043";"    17.4";"  229053";"  226129";"    2924";"    2894";"     968";"    1012";"     914";"      30";"   3.033";"   0.850";"   0.726";"   0.501";"   0.956";"       .";"       .";"    30.4";"    26.2";"    28.9";"    31.2";"    35.1";"       .";"       .";"    1.40"
"4";"1954JJ00";"  228173";"    21.5";"    88.6";"  228173";"  117672";"  110501";"    1065";"  228173";"    3663";"   35011";"   70835";"   64294";"   36521";"   16136";"    1713";"  228173";"   66458";"   56692";"   37338";"   67685";"  228173";"  225232";"    2941";"  228173";"       .";"       .";"       .";"       .";"       .";"       .";"    4036";"    17.4";"  229226";"  226263";"    2963";"    2943";"     966";"    1016";"     961";"      20";"   3.029";"   0.859";"   0.740";"   0.495";"   0.935";"       .";"       .";"    30.3";"    26.2";"    28.8";"    31.2";"    35.1";"       .";"       .";"    1.40"
"5";"1955JJ00";"  229222";"    21.3";"    88.5";"  229222";"  117588";"  111634";"    1053";"  229222";"    3954";"   35324";"   72096";"   63618";"   37169";"   15460";"    1601";"  229222";"   68443";"   56654";"   37823";"   66302";"  229222";"  226451";"    2771";"  229222";"       .";"       .";"       .";"       .";"       .";"       .";"    3966";"    17.0";"  230172";"  227185";"    2987";"    2958";"     988";"    1012";"     958";"      29";"   3.033";"   0.886";"   0.739";"   0.499";"   0.909";"       .";"       .";"    30.2";"    26.1";"    28.8";"    31.1";"    35.1";"       .";"       .";"    1.41"
"6";"1956JJ00";"  231492";"    21.3";"    89.0";"  231492";"  119199";"  112293";"    1061";"  231492";"    4094";"   36220";"   73978";"   63228";"   37479";"   14981";"    1512";"  231492";"   70117";"   58050";"   37347";"   65978";"  231492";"  228621";"    2871";"  231492";"       .";"       .";"       .";"       .";"       .";"       .";"    3980";"    16.9";"  232414";"  229401";"    3013";"    2969";"     964";"    1036";"     969";"      44";"   3.054";"   0.908";"   0.757";"   0.492";"   0.897";"       .";"       .";"    30.1";"    26.1";"    28.8";"    31.2";"    35.0";"       .";"       .";"    1.42"
"7";"1957JJ00";"  233892";"    21.2";"    89.4";"  233892";"  120256";"  113636";"    1058";"  233892";"    4384";"   37493";"   76711";"   62091";"   37334";"   14372";"    1507";"  233892";"   72540";"   59466";"   37828";"   64058";"  233892";"  230975";"    2917";"  233892";"       .";"       .";"       .";"       .";"       .";"       .";"    4016";"    16.9";"  234922";"  231963";"    2959";"    2934";"    1011";"     967";"     956";"      25";"   3.080";"   0.941";"   0.776";"   0.497";"   0.866";"       .";"       .";"    30.0";"    26.0";"    28.7";"    31.1";"    35.0";"       .";"       .";"    1.44"
"8";"1958JJ00";"  236859";"    21.2";"    89.7";"  236859";"  121700";"  115159";"    1057";"  236859";"    4618";"   39381";"   78094";"   61922";"   38009";"   13360";"    1475";"  236859";"   74821";"   60882";"   38041";"   63115";"  236859";"  233926";"    2933";"  236859";"       .";"       .";"       .";"       .";"       .";"       .";"    4029";"    16.7";"  237837";"  234817";"    3020";"    2990";"     971";"    1075";"     944";"      30";"   3.107";"   0.969";"   0.794";"   0.499";"   0.846";"       .";"       .";"    29.9";"    25.9";"    28.7";"    31.1";"    35.0";"       .";"       .";"    1.45"
"9";"1959JJ00";"  242518";"    21.4";"    90.9";"  242518";"  124292";"  118226";"    1051";"  242518";"    5141";"   41349";"   80225";"   62692";"   38224";"   13348";"    1539";"  242518";"   76420";"   64416";"   39073";"   62609";"  242518";"  239185";"    3333";"  242518";"       .";"       .";"       .";"       .";"       .";"       .";"    3878";"    15.7";"  243337";"  240306";"    3031";"    3003";"    1023";"    1059";"     921";"      28";"   3.171";"   0.987";"   0.839";"   0.511";"   0.833";"       .";"       .";"    29.8";"    25.8";"    28.6";"    31.1";"    35.0";"       .";"       .";"    1.49"
