REF_DATE,GEO,Age group,Pregnancy outcomes,VALUE
1974,"Canada, place of residence of females",All ages,"Total, pregnancies",438321
1974,"Canada, place of residence of females",All ages,"Total, pregnancies",76.0
1974,"Canada, place of residence of females",All ages,Live births,346913
1974,"Canada, place of residence of females",All ages,Live births,60.1
1974,"Canada, place of residence of females",All ages,Induced abortions,52435
1974,"Canada, place of residence of females",All ages,Induced abortions,9.1
1974,"Canada, place of residence of females",All ages,Fetal loss,38973
1974,"Canada, place of residence of females",All ages,Fetal loss,6.8
1974,"Canada, place of residence of females",Under 20 years,"Total, pregnancies",62279
1974,"Canada, place of residence of females",Under 20 years,"Total, pregnancies",45.5
1974,"Canada, place of residence of females",Under 20 years,Live births,40960
1974,"Canada, place of residence of females",Under 20 years,Live births,29.9
1974,"Canada, place of residence of females",Under 20 years,Induced abortions,16428
1974,"Canada, place of residence of females",Under 20 years,Induced abortions,12.0
1974,"Canada, place of residence of females",Under 20 years,Fetal loss,4891
1974,"Canada, place of residence of females",Under 20 years,Fetal loss,3.6
1974,"Canada, place of residence of females",Under 15 years,"Total, pregnancies",1037
1974,"Canada, place of residence of females",Under 15 years,"Total, pregnancies",4.4
1974,"Canada, place of residence of females",Under 15 years,Live births,337
1974,"Canada, place of residence of females",Under 15 years,Live births,1.4
1974,"Canada, place of residence of females",Under 15 years,Induced abortions,623
1974,"Canada, place of residence of females",Under 15 years,Induced abortions,2.7
1974,"Canada, place of residence of females",Under 15 years,Fetal loss,77
1974,"Canada, place of residence of females",Under 15 years,Fetal loss,0.3
1974,"Canada, place of residence of females",15 to 19 years,"Total, pregnancies",61242
1974,"Canada, place of residence of females",15 to 19 years,"Total, pregnancies",53.9
1974,"Canada, place of residence of females",15 to 19 years,Live births,40623
1974,"Canada, place of residence of females",15 to 19 years,Live births,35.7
1974,"Canada, place of residence of females",15 to 19 years,Induced abortions,15805
1974,"Canada, place of residence of females",15 to 19 years,Induced abortions,13.9
1974,"Canada, place of residence of females",15 to 19 years,Fetal loss,4814
1974,"Canada, place of residence of females",15 to 19 years,Fetal loss,4.2
1974,"Canada, place of residence of females",15 to 17 years,"Total, pregnancies",23180
1974,"Canada, place of residence of females",15 to 17 years,"Total, pregnancies",33.9
1974,"Canada, place of residence of females",15 to 17 years,Live births,13513
1974,"Canada, place of residence of females",15 to 17 years,Live births,19.8
1974,"Canada, place of residence of females",15 to 17 years,Induced abortions,7937
1974,"Canada, place of residence of females",15 to 17 years,Induced abortions,11.6
1974,"Canada, place of residence of females",15 to 17 years,Fetal loss,1730
1974,"Canada, place of residence of females",15 to 17 years,Fetal loss,2.5
1974,"Canada, place of residence of females",18 to 19 years,"Total, pregnancies",38062
1974,"Canada, place of residence of females",18 to 19 years,"Total, pregnancies",84.2
1974,"Canada, place of residence of females",18 to 19 years,Live births,27110
1974,"Canada, place of residence of females",18 to 19 years,Live births,59.9
1974,"Canada, place of residence of females",18 to 19 years,Induced abortions,7868
1974,"Canada, place of residence of females",18 to 19 years,Induced abortions,17.4
1974,"Canada, place of residence of females",18 to 19 years,Fetal loss,3084
1974,"Canada, place of residence of females",18 to 19 years,Fetal loss,6.8
1974,"Canada, place of residence of females",20 to 24 years,"Total, pregnancies",142590
1974,"Canada, place of residence of females",20 to 24 years,"Total, pregnancies",136.6
1974,"Canada, place of residence of females",20 to 24 years,Live births,115624
1974,"Canada, place of residence of females",20 to 24 years,Live births,110.8
1974,"Canada, place of residence of females",20 to 24 years,Induced abortions,15323
1974,"Canada, place of residence of females",20 to 24 years,Induced abortions,14.7
1974,"Canada, place of residence of females",20 to 24 years,Fetal loss,11643
1974,"Canada, place of residence of females",20 to 24 years,Fetal loss,11.2
1974,"Canada, place of residence of females",25 to 29 years,"Total, pregnancies",143934
1974,"Canada, place of residence of females",25 to 29 years,"Total, pregnancies",152.0
1974,"Canada, place of residence of females",25 to 29 years,Live births,122247
1974,"Canada, place of residence of females",25 to 29 years,Live births,129.1
1974,"Canada, place of residence of females",25 to 29 years,Induced abortions,9719
1974,"Canada, place of residence of females",25 to 29 years,Induced abortions,10.3
1974,"Canada, place of residence of females",25 to 29 years,Fetal loss,11968
1974,"Canada, place of residence of females",25 to 29 years,Fetal loss,12.6
1974,"Canada, place of residence of females",30 to 34 years,"Total, pregnancies",61005
1974,"Canada, place of residence of females",30 to 34 years,"Total, pregnancies",81.3
1974,"Canada, place of residence of females",30 to 34 years,Live births,49410
1974,"Canada, place of residence of females",30 to 34 years,Live births,65.8
1974,"Canada, place of residence of females",30 to 34 years,Induced abortions,5669
1974,"Canada, place of residence of females",30 to 34 years,Induced abortions,7.6
1974,"Canada, place of residence of females",30 to 34 years,Fetal loss,5926
1974,"Canada, place of residence of females",30 to 34 years,Fetal loss,7.9
1974,"Canada, place of residence of females",35 to 39 years,"Total, pregnancies",21012
1974,"Canada, place of residence of females",35 to 39 years,"Total, pregnancies",33.1
1974,"Canada, place of residence of females",35 to 39 years,Live births,14633
1974,"Canada, place of residence of females",35 to 39 years,Live births,23.1
1974,"Canada, place of residence of females",35 to 39 years,Induced abortions,3559
1974,"Canada, place of residence of females",35 to 39 years,Induced abortions,5.6
1974,"Canada, place of residence of females",35 to 39 years,Fetal loss,2820
1974,"Canada, place of residence of females",35 to 39 years,Fetal loss,4.4
1974,"Canada, place of residence of females",40 years and over,"Total, pregnancies",7065
1974,"Canada, place of residence of females",40 years and over,"Total, pregnancies",11.2
1974,"Canada, place of residence of females",40 years and over,Live births,3737
1974,"Canada, place of residence of females",40 years and over,Live births,5.9
1974,"Canada, place of residence of females",40 years and over,Induced abortions,1737
1974,"Canada, place of residence of females",40 years and over,Induced abortions,2.8
1974,"Canada, place of residence of females",40 years and over,Fetal loss,1591
1974,"Canada, place of residence of females",40 years and over,Fetal loss,2.5
1974,"Canada, place of residence of females",Unknown age group,"Total, pregnancies",436
1974,"Canada, place of residence of females",Unknown age group,Live births,302
1974,"Canada, place of residence of females",Unknown age group,Induced abortions,0
1974,"Canada, place of residence of females",Unknown age group,Fetal loss,134
1974,"Newfoundland and Labrador, place of residence of females",All ages,"Total, pregnancies",12964
1974,"Newfoundland and Labrador, place of residence of females",All ages,"Total, pregnancies",101.2
1974,"Newfoundland and Labrador, place of residence of females",All ages,Live births,11504
1974,"Newfoundland and Labrador, place of residence of females",All ages,Live births,89.8
1974,"Newfoundland and Labrador, place of residence of females",All ages,Induced abortions,184
1974,"Newfoundland and Labrador, place of residence of females",All ages,Induced abortions,1.4
1974,"Newfoundland and Labrador, place of residence of females",All ages,Fetal loss,1276
1974,"Newfoundland and Labrador, place of residence of females",All ages,Fetal loss,10.0
1974,"Newfoundland and Labrador, place of residence of females",Under 20 years,"Total, pregnancies",2603
1974,"Newfoundland and Labrador, place of residence of females",Under 20 years,"Total, pregnancies",71.5
1974,"Newfoundland and Labrador, place of residence of females",Under 20 years,Live births,2334
1974,"Newfoundland and Labrador, place of residence of females",Under 20 years,Live births,64.1
1974,"Newfoundland and Labrador, place of residence of females",Under 20 years,Induced abortions,46
1974,"Newfoundland and Labrador, place of residence of females",Under 20 years,Induced abortions,1.3
1974,"Newfoundland and Labrador, place of residence of females",Under 20 years,Fetal loss,223
1974,"Newfoundland and Labrador, place of residence of females",Under 20 years,Fetal loss,6.1
1974,"Newfoundland and Labrador, place of residence of females",Under 15 years,"Total, pregnancies",32
1974,"Newfoundland and Labrador, place of residence of females",Under 15 years,"Total, pregnancies",5.0
1974,"Newfoundland and Labrador, place of residence of females",Under 15 years,Live births,25
1974,"Newfoundland and Labrador, place of residence of females",Under 15 years,Live births,3.9
1974,"Newfoundland and Labrador, place of residence of females",Under 15 years,Induced abortions,3
1974,"Newfoundland and Labrador, place of residence of females",Under 15 years,Induced abortions,0.5
1974,"Newfoundland and Labrador, place of residence of females",Under 15 years,Fetal loss,4
1974,"Newfoundland and Labrador, place of residence of females",Under 15 years,Fetal loss,0.6
1974,"Newfoundland and Labrador, place of residence of females",15 to 19 years,"Total, pregnancies",2571
1974,"Newfoundland and Labrador, place of residence of females",15 to 19 years,"Total, pregnancies",85.6
1974,"Newfoundland and Labrador, place of residence of females",15 to 19 years,Live births,2309
1974,"Newfoundland and Labrador, place of residence of females",15 to 19 years,Live births,76.9
1974,"Newfoundland and Labrador, place of residence of females",15 to 19 years,Induced abortions,43
1974,"Newfoundland and Labrador, place of residence of females",15 to 19 years,Induced abortions,1.4
1974,"Newfoundland and Labrador, place of residence of females",15 to 19 years,Fetal loss,219
1974,"Newfoundland and Labrador, place of residence of females",15 to 19 years,Fetal loss,7.3
1974,"Newfoundland and Labrador, place of residence of females",15 to 17 years,"Total, pregnancies",954
1974,"Newfoundland and Labrador, place of residence of females",15 to 17 years,"Total, pregnancies",52.0
1974,"Newfoundland and Labrador, place of residence of females",15 to 17 years,Live births,820
1974,"Newfoundland and Labrador, place of residence of females",15 to 17 years,Live births,44.7
1974,"Newfoundland and Labrador, place of residence of females",15 to 17 years,Induced abortions,43
