Date declaration of state of emergency,Extension,Date of Report on derogation of human rights to Human Rights Committee,Date lifting state of emergency,Duration (days),Country,Derogation ICCPR Article 8.3,Derogation ICCPR Article 9.2,Derogation ICCPR Article 9.3,Derogation ICCPR Article 10,Derogation ICCPR Article 12.1,Derogation ICCPR Article 12.2,Derogation ICCPR Article 13,Derogation ICCPR Article 14,Derogation ICCPR Article 17.1,Derogation ICCPR Article 17.2,Derogation ICCPR Article 19.1,Derogation ICCPR Article 19.2,Derogation ICCPR Article 20,Derogation ICCPR Article 21,Derogation ICCPR Article 22.1,Derogation ICCPR Article 22.2,Derogation ICCPR Article 23,Derogation ICCPR Article 24,Derogation ICCPR Article 25,Derogation ICCPR Article 26,Derogation ICCPR Article 27,Source,Declaratory organ,Declaratory person,Region,Trigger,Legal background,News sources,National/subnational,Details,Duration and other limitations of SoE according to consitution or other law,,,,,,,,,,,,,,,,
04/12/2015,No,11/12/2015,18/01/2016,45,Peru,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 083-2015-PCM, C.N.714.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,The Constitutional Province of Callao,Man-made disaster,Constitution,N/A,sub-national,"According to the chief of the Callao Police Region, the increased crime rate - including drug trafficking, killing, homicide and assault - has disrupted domestic order and therefore necessitated a state of emergency.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
26/11/2015,Yes,25/11/2015,26/02/2016,92,France,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,"Depositary Notification of Decree No. 2015-1501, C.N.703.2015.TREATIES-IV.4",President,Francois Hollande,"The Metropolitan territory, Corsica and the territory of the collectivities of Guadeloupe, French Guiana, Martinique, Réunion, Mayotte, Saint Barthélemy and Saint Martin.",Man-made disaster,Constitution,N/A,national,The state of emergency declartion and the derogations from the obligations under the International Covenant on Civil and Political Rights are deemed necessary in order to prevent the commission of further terrorist attacks after the 13-11-2015 attacks in the Paris region.,Act No. 55-385 of 3 April 1955 concerning the state of emergency has been amended by Act No. 2015-1501 of 20 November 2015 to extend the duration of the state of emergency up till three months and to enhance the effectiveness of its provisions by applying them throughout the territory of the Republic.,,,,,,,,,,,,,,,,
22/11/2015,Yes,11/12/2015,21/01/2016,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 079-2015-PCM, C.N.720.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"Echarate district of the province of La Convención, department of Cusco.",Man-made disaster,Constitution,N/A,sub-national,"Continuation of police and military efforts to restrain the remnants of Shining Path rebels in the VRAE region, where the rebels have become involved in coca production.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
19/11/2015,No,25/11/2015,26/11/2015,7,France,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,"Depositary Notification of Decree No. 2015-1493, C.N.703.2015.TREATIES-IV.4",President,Francois Hollande,"The territory of the collectivities of Guadeloupe, French Guiana, Martinique, Réunion, Mayotte, Saint Barthélemy and Saint Martin.",Man-made disaster,Constitution,N/A,sub-national,The state of emergency declartion and the derogations from the obligations under the International Covenant on Civil and Political Rights are deemed necessary in order to prevent the commission of further terrorist attacks after the 13-11-2015 attacks in the Paris region.,Act No. 55-385 of 3 April 1955 concerning the state of emergency has been amended by Act No. 2015-1501 of 20 November 2015 to extend the duration of the state of emergency up till three months and to enhance the effectiveness of its provisions by applying them throughout the territory of the Republic.,,,,,,,,,,,,,,,,
16/11/2015,Yes,11/12/2015,15/01/2016,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 077-2015-PCM,  C.N.719.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"The Districts of Ramón Castilla and Yavarí in the Province of Mariscal Ramón Castilla, Department of Loreto.",Man-made disaster,Constitution,N/A,sub-national,"In order to continue effectively addressing illicit drug trafficking and to reduce the rate of crime related to illicit drug production, an extension of the state is necessary according to the government.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
16/11/2015,Yes,11/12/2015,15/01/2016,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 078-2015-PCM, C.N.713.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"Provinces of Huanta and La Mar, department of Ayacucho; the province of Tayacaja, department of Huancavelica; Kimbiri, Pichari and Vilcabamba districts of the province of La Convención, department of Cusco; the province of Satipo; Andamarca and Comas districts of the province of Concepción, and Santo Domingo de Acobamba and Pariahuanca districts of the province of Huancayo, department of Junín.",Man-made disaster,Constitution,N/A,sub-national,"The situation of illicit drug trafficking and illegal cultivation of coca, the main occupation of the population, has remained in most of the mentioned provinces and districts. This necessitated an extension of the state of emergency decree according to the government. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
14/11/2015,No,25/11/2015,26/11/2015,12,France,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,"Depositary Notificiation of Decree No. 2015-1475, C.N.703.2015.TREATIES-IV.4",President,Francois Hollande,The Metropolitan territory and Corsica.,Man-made disaster,Constitution,N/A,national,The state of emergency declartion and the derogations from the obligations under the International Covenant on Civil and Political Rights are deemed necessary in order to prevent the commission of further terrorist attacks after the 13-11-2015 attacks in the Paris region.,"The Constitution of 1958 states in Art. 16 that the president of the republic may declare a state of emergency when the integrity of the territory of France is under serious and immediate threat, and where the proper functioning of the constitutional public authorities is interrupted. After 30 days it has to be decided whether the conditions for the state of emergency still apply and an extention may be made (http://www.wipo.int/wipolex/en/text.jsp?file_id=179092)",,,,,,,,,,,,,,,,
28/09/2015,No,02/10/2015,28/10/2015,30,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 068-2015-PCM, C.N.546.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"Provinces of Cotabambas, Grau, Andahuaylas and Chincheros, Department of Apurímac, and in the provinces of Chumbivilcas and Espinar, Departament of Cusco.",Man-made disaster,Constitution,N/A,sub-national,"Disturbance of public order necessitated a state of emergency in order to achieve stability and governability, according to the government.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
23/09/2015,Yes,11/12/2015,22/11/2015,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 063-2015-PCM, C.N.712.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"Echarate district of the province of La Convención, department of Cusco.",Man-made disaster,Constitution,N/A,sub-national,"Continuation of police and military efforts to restrain the remnants of Shining Path rebels in the VRAE region, where the rebels have become involved in coca production.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
17/09/2015,Yes,11/12/2015,16/11/2015,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 061-2015-PCM,  C.N.718.2015.TREATIES-IV.4 ",President,Ollanta Humala Tasso,"The Districts of Ramón Castilla and Yavarí in the Province of Mariscal Ramón Castilla, Department of Loreto.",Man-made disaster,Constitution,N/A,sub-national,"In order to continue effectively addressing illicit drug trafficking and to reduce the rate of crime related to illicit drug production, an extension of the state is necessary according to the government.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
