Participant number,Country of Employment,Age,Type of workplace,Years of experience working with PWA,Hrs/week spent treating PWA,Frequency of seeing clients with aphasia,AverClient's age % of clients that have access to SLT services in their hometown,Are you generally open to using aphasia therapy apps with your clients?,To what extent do you feel that therapy apps can contribute to reaching therapy goals for people with aphasia?,For how many of your clients do you use  therapy apps as part of the aphasia therapy?,Do you feel that your employer / clinic would be willing to invest in aphasia therapy apps?,Which factors influence your decision to use aphasia therapy apps?,How often do people with aphasia use smartphones / tablets?,How often should an SLT be physically present while the client is using a therapy app?,How often do you think a person with aphasia is able to practice therapy material independently using a therapy app?,Which user data would you want to have access to while your client is using a therapy app?,Facilitators listed,Barriers listed
1,NL,44,Rehabilitation centre,18,26,More than three times a week,74,Definitely,Quite a bit,Most of my clients,Yes,"Severity of the impairment,Cognitive status of the client,Availability of a device (e.g. tablet),Availability of suitable app,Availability of carer to support app use at home",Weekly,Every now and then,Daily,"  The amount of time that the app is used, Cues that the client needs to give an answer,The number of errors,The type of errors,Audio recordings of the client's input,Which exercises the client finishes",The app can be used independently as an addition to regular therapy,"Potential difficulty using iPads / tablets among PWA (due to age or computer illiteracy), Creating and / or maintaining motivation for app use among clients"
2,NL,59,Rehabilitation centre,20,24,More than three times a week,88,Definitely,Quite a bit,Some of my clients,Yes,"Severity of the impairment,Cognitive status of the client,Type of impairment (e.g. semantic, phonological output),Availability of a device (e.g. tablet),Availability of suitable app,Client's interest in apps",Multiple times per day,Every now and then,Daily," Cues that the client needs to give an answer,The number of errors,The type of errors,Which exercises the client finishes",NA,NA
3,NL,NA,"Private practice,Hospital",25,20,More than three times a week,NA,Definitely,A lot,(Nearly) all of my clients,Yes,Client's interest in apps,Multiple times per day,Every now and then,Daily," Cues that the client needs to give an answer,The number of errors,The type of errors,Which exercises the client finishes","The app should have few visual distractions, The app can be used independently as an addition to regular therapy",Cognitive problems may make independent app use difficult for clients
4,NL,42,Rehabilitation centre,15,24,2-3 times a week,21,Definitely,Quite a bit,Most of my clients,Yes,"Severity of the impairment,Cognitive status of the client,Computer literacy of client,Client's interest in apps",Daily,Every now and then,Two to three times a week," Cues that the client needs to give an answer,The number of errors,The type of errors,Which exercises the client finishes","The app should contain many different exercises, The app should be easy to use and accessible",High costs of tablet and app (for client and / or health provider)
5,NL,32,Rehabilitation centre,10,8,More than three times a week,77,Quite a bit,Quite a bit,Some of my clients,Yes,"Severity of the impairment,Cognitive status of the client,Type of impairment (e.g. semantic, phonological output),Computer literacy of client,Availability of suitable app,Availability of carer to support app use at home",Daily,Every now and then,Two to three times a week," Cues that the client needs to give an answer,The number of errors,The type of errors,Which exercises the client finishes","The app should be easy to use and accessible,  The app should have few visual distractions","Potential difficulty using iPads / tablets among PWA (due to age or computer illiteracy), Clients may not understand the app when they use it independently outside of therapy"
6,NL,29,"Rehabilitation centre,Care home",5,20,2-3 times a week,100,Definitely,Quite a bit,Some of my clients,Yes,"Severity of the impairment,Cognitive status of the client,Type of impairment (e.g. semantic, phonological output),Availability of a device (e.g. tablet),Availability of suitable app,Client's interest in apps",Monthly,Most of the time,Daily,"  The amount of time that the app is used, Cues that the client needs to give an answer,The type of errors,Which exercises the client finishes","The therapist should be able to adjust difficulty and type of exercises as needed and as their client user improves, The user should be able to practice different language skills beyond the single word level (e.g. sentence or discourse level)",Apps or app features (e.g. cueing or feedback) may be too general to be useful for a particular client
7,NL,48,Private practice,25,25,Once a week,50,Definitely,Quite a bit,Most of my clients,My employer would only be interested in free apps,"Severity of the impairment,Cognitive status of the client,Computer literacy of client,Availability of a device (e.g. tablet),Client's interest in apps",Daily,Every now and then,Two to three times a week,"  The amount of time that the app is used, Cues that the client needs to give an answer,The number of errors,The type of errors,Which exercises the client finishes","The difficulty of the therapy material should change automatically based on the user’s performance, The app should be easy to use and accessible",High costs of tablet and app (for client and / or health provider)
8,NL,47,Care home,18,3,2-3 times a week,100,Definitely,A little,Some of my clients,Yes,"Severity of the impairment,Cognitive status of the client,Computer literacy of client,Availability of a device (e.g. tablet),Availability of suitable app,Availability of carer to support app use at home,Client's interest in apps",Weekly,Every now and then,Never," Cues that the client needs to give an answer,The number of errors,The type of errors,Audio recordings of the client's input","Exercises should offer a range of cueing possibilities, The app should be easy to use and accessible, The app should use clear, modern, visually attractive images or videos, The app should have clear and short instructions","Clients may not own a tablet / iPad, Potential difficulty using iPads / tablets among PWA (due to age or computer illiteracy), Clients may not have someone (e.g. a partner) available who can help them when they run into app-related problems at home, Clients may not understand the app when they use it independently outside of therapy"
9,NL,43,Care home,19,16,2-3 times a week,64,Quite a bit,A little,Some of my clients,Yes,"Severity of the impairment,Cognitive status of the client,Client's age,Computer literacy of client,Availability of a device (e.g. tablet),Availability of suitable app,Availability of carer to support app use at home,Client's interest in apps",Weekly,Most of the time,More than three times a week,"  The amount of time that the app is used, Cues that the client needs to give an answer,The number of errors,The type of errors,Audio recordings of the client's input,Which exercises the client finishes","The therapist should be able to adjust difficulty and type of exercises as needed and as their client user improves, The app should be easy to use and accessible, The app should keep track of the user’s performance (e.g. accuracy, types of mistakes, time spent on app, voice recordings of the user’s response), The therapist should be able to select items that will be included in treatment, The app can be used independently as an addition to regular therapy, The user should get real-time feedback as they perform an exercise","Potential difficulty using iPads / tablets among PWA (due to age or computer illiteracy), Cognitive problems may make independent app use difficult for clients, Creating and / or maintaining motivation for app use among clients"
10,NL,41,"Care home,Other",19,6,More than three times a week,76,Definitely,A little,Some of my clients,Yes,"Severity of the impairment,Cognitive status of the client,Type of impairment (e.g. semantic, phonological output),Computer literacy of client,Availability of a device (e.g. tablet),Availability of suitable app,Availability of carer to support app use at home,Client's interest in apps",Weekly,Most of the time,Daily,"  The amount of time that the app is used, Cues that the client needs to give an answer,The number of errors,The type of errors,Which exercises the client finishes","The app should be easy to use and accessible, The user should get real-time feedback as they perform an exercise","Potential difficulty using iPads / tablets among PWA (due to age or computer illiteracy), Cognitive problems may make independent app use difficult for clients, Client’s (fine) motor skills may not be sufficient"
