countryc,year,gov,trade,start,tor,bmp,priv,school,lgdp,growth,pi
AUS,1975,17.40578,28.90041,14318.07,,0,0.2494127,9.808,,,
AUS,1976,17.57426,31.20762,14564.74,0.0646804,0,0.2476122,9.808,14318.07,0.0170812,0.1268436
AUS,1977,18.1223,30.8631,14578.09,0.0696577,0,0.2595318,9.808,14564.74,0.0009163,0.1160059
AUS,1978,17.60942,32.15132,15144.27,0.037948,0,0.2629407,9.808,14578.09,0.0381025,0.076254
AUS,1979,17.35343,34.95831,15327.4,0.1440008,0,0.2610165,9.808,15144.27,0.0120202,0.0870029
AUS,1980,17.83238,33.86125,15722.82,0.1932583,0,0.2645868,10.019,15327.4,0.0254711,0.0964604
AUS,1981,18.0435,33.17373,15862.61,0.1373743,0,0.263978,10.019,15722.82,0.0088511,0.0925038
AUS,1982,18.82813,31.65774,15265.66,0.1057554,0,0.2682542,10.019,15862.61,-0.0383587,0.1056702
AUS,1983,18.3118,30.67814,15996.94,0.184685,0,0.2785638,10.019,15265.66,0.0467917,0.0963421
AUS,1984,18.50873,34.641,16579.77,0.1931159,0,0.2782419,10.019,15996.94,0.0357858,0.0387415
AUS,1985,18.65464,35.24625,17077.58,0.2863184,0,0.3199275,10.061,16579.77,0.0295834,0.065217
AUS,1986,18.53652,34.7444,17204.43,0.3490896,0,0.3749622,10.061,17077.58,0.0074001,0.0869529
AUS,1987,17.51991,34.72344,17761.86,0.5840039,0,0.3937722,10.061,17204.43,0.0318866,0.0814762
AUS,1988,16.67113,34.08369,18172.71,0.3066082,0,0.4169144,10.061,17761.86,0.0228676,0.0698224
AUS,1989,16.55095,34.35854,18430.75,0.3189516,0,0.5115991,10.061,18172.71,0.0140994,0.0728733
AUS,1990,17.49181,34.45941,18026.43,0.3132411,0,0.6163114,10.124,18430.75,-0.0221815,0.0701998
AUS,1991,18.38358,35.22558,17870.96,0.3708133,0,0.6468487,10.124,18026.43,-0.0086618,0.0317184
AUS,1992,18.25999,37.71645,18247.14,0.3199271,0,0.6433722,10.124,17870.96,0.0208311,0.0098108
AUS,1993,17.76864,38.39343,18962.35,0.3983233,0,0.6469198,10.124,18247.14,0.0384472,0.0179688
AUS,1994,17.23714,39.70749,19672.03,0.4464157,,0.6585445,10.124,18962.35,0.0367425,0.0187724
AUS,1995,16.95485,40.16049,20195.44,0.4196069,,0.692783,10.307,19672.03,0.0262589,0.0453379
AUS,1996,16.73794,39.95538,20527.25,0.6416624,0.462648,0.7152359,10.307,20195.44,0.0162965,0.0257886
AUS,1997,,42.79295,20851.28,0.5208269,2.488276,0.7434504,10.307,20527.25,0.015662,0.0025015
AUS,1998,,,21351.04,0.5178322,,0.7811955,10.307,20851.28,0.0236852,0.0084979
AUT,1975,17.44331,61.59815,18803.67,,0,0.528481,6.832,,,
AUT,1976,17.85029,65.17087,19674.73,0.0685749,0,0.545258,6.832,18803.67,0.0452827,0.0706325
AUT,1977,17.52726,65.20969,20575.67,0.0489162,0,0.5844829,6.832,19674.73,0.0447741,0.0533039
AUT,1978,18.22367,64.74067,20517.36,0.0529178,0,0.6313819,6.832,20575.67,-0.0028379,0.0351649
AUT,1979,18.14696,69.69872,21645.11,0.0514701,0,0.6650905,6.832,20517.36,0.0535081,0.0364002
AUT,1980,18.18604,73.99586,22137.18,0.0504217,0,0.7109138,8.425,21645.11,0.0224794,0.0613339
AUT,1981,18.62967,76.07967,22080.08,0.0459646,0,0.7448668,8.425,22137.18,-0.002583,0.0658521
AUT,1982,19.04087,71.68456,22474.57,0.0467089,0,0.7552812,8.425,22080.08,0.0177087,0.0529757
AUT,1983,19.03134,70.53411,23172.16,0.088521,0,0.7507086,8.425,22474.57,0.0305674,0.0328097
AUT,1984,19.09341,75.5127,23249.05,0.0755524,0,0.757953,8.425,23172.16,0.0033127,0.0551023
AUT,1985,19.30457,79.06573,23761.25,0.2263043,0,0.7839435,8.261,23249.05,0.0217918,0.0313988
AUT,1986,19.58648,70.92529,24285.28,0.2484389,0,0.803465,8.261,23761.25,0.0218142,0.0168663
AUT,1987,19.57533,69.634,24667.47,1.378831,0,0.8005975,8.261,24285.28,0.0156149,0.0139029
AUT,1988,19.31885,74.93547,25375.29,0.2487156,0,0.8294516,8.261,24667.47,0.0282906,0.0191288
AUT,1989,19.06157,78.90685,26321.81,0.7551931,0,0.8581152,8.261,25375.29,0.0366221,0.0253159
AUT,1990,18.64463,79.02957,27184.91,1.085952,0,0.8860683,8.218,26321.81,0.032264,0.0321024
AUT,1991,18.90199,78.76903,27755.77,0.7303807,0,0.9081747,8.218,27184.91,0.0207818,0.0327996
AUT,1992,19.35856,76.00287,27824.13,0.3362306,0,0.9240177,8.218,27755.77,0.0024599,0.0395068
AUT,1993,20.21198,73.35823,27696.93,0.2607843,0,0.9394549,8.218,27824.13,-0.0045819,0.0356162
AUT,1994,20.31402,75.09325,28262.98,0.5563509,,0.9255323,8.218,27696.93,0.0202313,0.0291614
AUT,1995,20.10497,77.59773,28774.54,0.8165653,,0.9351941,8.439,28262.98,0.0179379,0.0222515
AUT,1996,19.75138,82.19994,29201.8,0.6146022,1.047935,0.9585832,8.439,28774.54,0.0147394,0.0182681
AUT,1997,,84.97755,29896.16,0.7045817,1.071433,0.988946,8.439,29201.8,0.0234998,0.0131628
AUT,1998,,,30808.45,0.4731604,,,8.439,29896.16,0.0300587,0.0090065
BEL,1975,16.34984,104.7795,18768.42,,0,0.1955444,7.878,,,
BEL,1976,16.30277,110.8381,19785.67,0.0717676,0,0.2016542,7.878,18768.42,0.0527819,0.0876327
BEL,1977,16.63682,109.5376,19865.29,0.0625055,0,0.217848,7.878,19785.67,0.0040161,0.0686942
BEL,1978,17.24441,105.6856,20399.42,0.0632668,0,0.230179,7.878,19865.29,0.0265326,0.0437354
BEL,1979,17.39177,116.2898,20828.38,0.0788446,0,0.2472614,7.878,20399.42,0.0208101,0.0437209
BEL,1980,17.55457,117.1688,21712.37,0.0703304,0,0.2635106,7.849,20828.38,0.0415655,0.0643914
BEL,1981,18.3015,126.3526,21427.9,0.0689107,0,0.2725164,7.849,21712.37,-0.0131882,0.0735133
BEL,1982,17.86645,134.4237,21724.18,0.1247359,0,0.2635869,7.849,21427.9,0.013732,0.0836594
BEL,1983,17.40503,137.1891,21725.34,0.1484796,0,0.2585932,7.849,21724.18,0.0000533,0.0738392
BEL,1984,16.96643,146.6429,22271.41,0.1363107,0,0.2548875,7.849,21725.34,0.0248248,0.0615421
BEL,1985,16.98369,140.5551,22479.7,0.1136667,0,0.2481269,8.16,22271.41,0.0093088,0.0475291
BEL,1986,16.79202,126.711,22805.06,0.1498933,0,0.2501014,8.16,22479.7,0.0143696,0.0128718
BEL,1987,16.13819,122.6466,23326.99,0.1806577,0,0.2669525,8.16,22805.06,0.0226287,0.0154253
BEL,1988,15.10377,129.2056,24346.79,0.1670713,0,0.2854595,8.16,23326.99,0.0427887,0.0115535
BEL,1989,14.37165,138.3847,25131.71,0.1150885,0,0.3217574,8.16,24346.79,0.0317304,0.0305821
BEL,1990,14.0429,134.0965,25817.57,0.0910026,0,0.3468242,8.426,25131.71,0.0269252,0.0339454
BEL,1991,14.38214,130.8702,26129.98,0.0906064,0,0.3539681,8.426,25817.57,0.012028,0.0315816
